Название раздела,Название товара,Изображение,Артикул,Описание,Производитель
Бутыли,"Бутыль для реактивов, янтарного цвета, с притертой пробкой, градуир. 86х177 мм пробка 24/29  500 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/9ff/9ff183ded5dfa37237fee491ef649e51.webp,1509024,"– Соответствуют IS 1388 (Часть II), ISO / DIN 4796 (Часть II)
– Широкие горлышки бутылей для хранения реактивов прочные и не дают сколов
– Все бутыли оснащены стойким, матовым, покрытым эмалью окном для маркировки
– Механически прочные и химически стойкие
– Равномерная янтарная окраска
– Свойства бутыли остаются неизменным на всём периоде эксплуатации
– Защищает вещества от светового излучения с длиной волны от 300 нм до 500 нм
– Идеально подходит для использования светочувствительных веществ и для их долгосрочного хранения
– Поставляются со стеклянной пробкой",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, относит. плотн., с капиллярным отверст., взаимозамен. пробк.  38х55 мм пробка 10/15  25 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/eab/eab58501b719c9b8bc346b3f3f52fbdf.webp,1625009,"– Соответствуют IS 5711, ISO / DIN 3507
– Эти бутыли механически прочные и химически стойкие
– Все бутыли оснащены стойким, матовым, покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, для взвешивания, с взаимозаменяемой пробкой 60 x 40мм 40 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/a42/a4208fe2b07b38195b0eb613a8a63ba7.webp,1630011,"– Соответствуют IS 1574
– Эти бутыли механически прочные и химически стойкие
– Все размеры оснащены стойким матовым, покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, для промывания, с взаимозаменяемой пробкой, размер пробки 24/29  500мл",https://himbio.ru/upload/resize_cache/webp/iblock/91c/91cf0cd7a216ed8468474c2aa2db66a5.webp,1660024,"– Эти бутыли механически прочные и химически стойкие
– Все бутыли оснащены стойким матовым, покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Пробка, только для бутылей для промывки  Кат.  № 1660, пробка 29/32, 1000 мл",https://himbio.ru/upload/resize_cache/webp/iblock/dcd/dcd77f7734962ca8c9a53f125b800e52.webp,1661029,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, только для бутылей для промывания газов, 50 x 155 мм, 125 мл.",https://himbio.ru/upload/resize_cache/webp/iblock/773/77314ead777307f5c31324f264f24a72.webp,1762017,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и впаянной спускной трубкой 136 x 260 мм  2000 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/aa9/aa986cd81101966e83bc56c9e1c936e2.webp,1220030,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Дозирование жидкостей через трубки
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и выходным отверстием для пробки 136 x 260 мм  2000 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/d44/d4464ad5d412b757e836a36b94868f99.webp,1240030,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и выходным отверстием для пробки 227х410 мм  10000 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/d50/d50afd6edd5057179d297fe2e357d0e5.webp,1240038,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, БПК, со сменной пробкой и пластиковым колпачком 42х100мм 60мл",https://himbio.ru/upload/resize_cache/webp/iblock/de6/de65b34be9dfaca9a68ef83a3f5ecbfb.webp,1250013,"– Соответствуют IS 9213
– Используется для определения ВПК в промышленных сточных водах, отходах и воде
– На каждой бутылке напечатанный индивидуальный номер",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль для реактивов, прозрачная, с притертой пробкой, градуирована 45 x 90 мм горлышко 14/23  60 мл",https://himbio.ru/upload/resize_cache/webp/iblock/9cf/9cf0f8f847ebbdaa34432da7a56111f9.webp,1500013,"– Соответствуют IS 1388 (Часть II), ISO / DIN 4796 (Часть II)
– Эти узкие горлышка бутылей для хранения реактивов имеют прочное основание горлышка
– Все бутыли оснащены стойким матовым покрытым эмалью окном для маркировки
– Эти бутыли механически прочные и химически стойкие
– Поставляются с цельностеклянной пробкой",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
